index,Llamadas_Inbound,Llamadas_Outbound,Total_Llamadas,outbound_share,days_active,inbound_total,missed_rate,Tiempo_Espera_Promedio,Promedio_Outbound_Diario,Rol_Operador,Indicador_Ineficiencia,Duracion_Llamada_Promedio,user_id,Plan_Tarifario
824,29,5,34,0.14705882352941177,10.0,29.0,0.0,43.1764705882353,0.5,Inbound,Eficaz,346.61538461538464,167521,B
825,9,1,10,0.1,5.0,9.0,0.0,34.8,0.2,Inbound,Eficaz,256.3333333333333,167521,B
826,3,0,3,0.0,2.0,3.0,0.0,5.0,0.0,Inbound,Eficaz,126.0,168252,A
827,6,12,18,0.6666666666666666,4.0,6.0,0.0,20.11111111111111,3.0,Mixed,Ineficaz,21.857142857142858,168221,C
828,189,16,205,0.07804878048780488,29.0,189.0,0.0,13.08780487804878,0.5517241379310345,Inbound,Eficaz,437.6875,168221,C
829,5,1,6,0.16666666666666666,4.0,5.0,0.0,16.5,0.25,Inbound,Eficaz,16.5,167521,B
830,2,0,2,0.0,2.0,2.0,0.0,14.0,0.0,Inbound,Eficaz,20.0,168202,C
831,26,145,171,0.847953216374269,21.0,26.0,0.0,18.24561403508772,6.904761904761905,Outbound,Eficaz,209.94,167471,C
832,219,333,552,0.6032608695652174,26.0,219.0,0.0045662100456621,13.03623188405797,12.807692307692308,Mixed,Eficaz,537.5972222222222,167471,C
833,5,41,46,0.8913043478260869,12.0,5.0,0.0,13.695652173913043,3.4166666666666665,Outbound,Eficaz,106.28,167471,C
834,355,256,611,0.41898527004909986,19.0,355.0,0.005633802816901409,11.923076923076923,13.473684210526315,Mixed,Eficaz,892.9333333333333,168271,C
835,152,140,292,0.4794520547945205,12.0,152.0,0.006578947368421052,13.76027397260274,11.666666666666666,Mixed,Eficaz,627.1111111111111,168271,C
836,229,0,229,0.0,30.0,229.0,0.0,2.2925764192139737,0.0,Inbound,Eficaz,874.3,167521,B
837,2,0,2,0.0,2.0,2.0,0.0,13.5,0.0,Inbound,Eficaz,1.5,167998,C
838,60,29,89,0.3258426966292135,9.0,60.0,0.06666666666666667,17.528089887640448,3.2222222222222223,Mixed,Ineficaz,385.5,168307,B
839,59,16,75,0.21333333333333335,8.0,59.0,0.03389830508474576,11.906666666666666,2.0,Inbound,Eficaz,428.6842105263158,168307,B
840,4,1,5,0.2,3.0,4.0,0.0,17.0,0.3333333333333333,Inbound,Eficaz,15.0,168307,B
841,0,3,3,1.0,1.0,0.0,,8.666666666666666,3.0,Outbound,Ineficaz,0.0,168361,A
842,0,1,1,1.0,1.0,0.0,,14.0,1.0,Outbound,Ineficaz,1.0,168361,A
843,0,4001,4001,1.0,22.0,0.0,,32.61334666333417,181.86363636363637,Outbound,Eficaz,4915.818181818182,168361,A
844,0,2399,2399,1.0,21.0,0.0,,18.43351396415173,114.23809523809524,Outbound,Eficaz,4677.046511627907,168361,A
845,0,2309,2309,1.0,28.0,0.0,,18.850584668687745,82.46428571428571,Outbound,Eficaz,3505.285714285714,168361,A
846,0,2071,2071,1.0,20.0,0.0,,18.141960405601157,103.55,Outbound,Eficaz,2603.7073170731705,168361,A
847,0,6880,6880,1.0,28.0,0.0,,19.62892441860465,245.71428571428572,Outbound,Eficaz,2365.2096774193546,168361,A
848,0,2209,2209,1.0,18.0,0.0,,18.45631507469443,122.72222222222223,Outbound,Eficaz,4940.388888888889,168361,A
849,0,3373,3373,1.0,32.0,0.0,,24.71093981618737,105.40625,Outbound,Eficaz,925.515625,168361,A
850,0,3368,3368,1.0,20.0,0.0,,19.20724465558195,168.4,Outbound,Eficaz,6767.775,168361,A
851,0,2434,2434,1.0,35.0,0.0,,18.58216926869351,69.54285714285714,Outbound,Eficaz,2392.605633802817,168361,A
852,0,1313,1313,1.0,19.0,0.0,,19.59025133282559,69.10526315789474,Outbound,Eficaz,3200.4545454545455,168361,A
853,0,6138,6138,1.0,35.0,0.0,,22.063701531443467,175.37142857142857,Outbound,Eficaz,4621.257142857143,168361,A
854,0,2576,2576,1.0,19.0,0.0,,19.314829192546583,135.57894736842104,Outbound,Eficaz,6198.6578947368425,168361,A
855,0,1584,1584,1.0,16.0,0.0,,18.83080808080808,99.0,Outbound,Eficaz,4966.548387096775,168361,A
856,0,3311,3311,1.0,22.0,0.0,,21.81787979462398,150.5,Outbound,Eficaz,7174.955555555555,168361,A
857,0,2146,2146,1.0,25.0,0.0,,20.064771668219944,85.84,Outbound,Eficaz,4397.96,168361,A
858,0,1763,1763,1.0,28.0,0.0,,21.119115144639817,62.964285714285715,Outbound,Eficaz,2008.1016949152543,168361,A
859,0,2575,2575,1.0,30.0,0.0,,19.600776699029126,85.83333333333333,Outbound,Eficaz,3406.2622950819673,168361,A
860,0,1839,1839,1.0,16.0,0.0,,18.374116367591082,114.9375,Outbound,Eficaz,5243.53125,168361,A
861,0,2177,2177,1.0,19.0,0.0,,18.624712907671107,114.57894736842105,Outbound,Eficaz,5571.710526315789,168361,A
862,0,4775,4775,1.0,31.0,0.0,,21.28607329842932,154.03225806451613,Outbound,Eficaz,3718.746031746032,168361,A
863,0,2226,2226,1.0,24.0,0.0,,24.87601078167116,92.75,Outbound,Eficaz,2444.1020408163267,168361,A
864,1,0,1,0.0,1.0,1.0,0.0,17.0,0.0,Inbound,Eficaz,50.0,166837,B
865,0,87,87,1.0,5.0,0.0,,19.735632183908045,17.4,Outbound,Eficaz,226.125,167580,B
866,0,1464,1464,1.0,9.0,0.0,,17.991120218579233,162.66666666666666,Outbound,Eficaz,1007.0588235294117,168018,B
867,0,3,3,1.0,1.0,0.0,,0.3333333333333333,3.0,Outbound,Ineficaz,0.0,168018,B
868,0,4210,4210,1.0,21.0,0.0,,18.69643705463183,200.47619047619048,Outbound,Eficaz,906.3720930232558,168018,B
